slope_ET,slope_Q,slope_Sed,model
-0.974077778,0.158984034,0.00150137,CNRM_CM5_RCP45
-0.157194941,0.037923675,3.16E-05,CNRM_CM5_RCP45
-0.233711304,0.036940206,0.001202387,CNRM_CM5_RCP45
-0.506747278,-0.077153986,-0.001097468,CNRM_CM5_RCP45
-1.050966693,-0.465792285,-0.012414753,CNRM_CM5_RCP45
0.390111153,0.152058816,0.00031577,CNRM_CM5_RCP45
-0.302044572,0.041865625,0.000125274,CNRM_CM5_RCP45
-0.736457357,-0.115566234,1.67E-05,CNRM_CM5_RCP45
0.635123994,0.107629763,0.013609593,CNRM_CM5_RCP45
0.523180954,0.075132581,0.001058894,CNRM_CM5_RCP45
0.61361548,0.204458134,0.000938769,CNRM_CM5_RCP45
-0.398501515,0.025446668,-8.22E-06,CNRM_CM5_RCP45
0.706263624,0.018889026,2.25E-06,CNRM_CM5_RCP45
1.768682189,0.068445556,7.04E-07,CNRM_CM5_RCP45
-0.30857817,0.014422445,2.83E-05,CNRM_CM5_RCP45
1.676138635,0.165111382,-3.07E-05,CNRM_CM5_RCP45
3.464266452,0.107962947,-1.08E-05,CNRM_CM5_RCP45
0.227016156,0.210310717,0.002703645,CNRM_CM5_RCP45
-0.007335012,-0.075241195,-0.002611125,CNRM_CM5_RCP45
1.903017246,0.015131401,0,CNRM_CM5_RCP45
-0.493166257,0.048906949,0.000243616,CNRM_CM5_RCP45
1.957874413,0.22613954,-1.80E-05,CNRM_CM5_RCP45
1.796096741,0.142787349,-0.000132905,CNRM_CM5_RCP45
-0.320603231,0.175512886,0.001779103,CNRM_CM5_RCP45
-1.006570528,0.005179998,7.34E-05,CNRM_CM5_RCP45
2.891107799,0.210450011,-0.000513702,CNRM_CM5_RCP45
2.713606133,0.108391083,-0.001625319,CNRM_CM5_RCP45
-0.870476761,-0.00020407,-1.07E-06,CNRM_CM5_RCP45
0.346357362,0.03970265,0.000155406,CNRM_CM5_RCP45
1.996940116,0.003720041,9.22E-06,CNRM_CM5_RCP45
-1.553479327,-0.235331093,0.00287476,CNRM_CM5_RCP45
-0.31428319,0.002310448,2.85E-05,CNRM_CM5_RCP45
2.228164037,0.002957307,4.25E-07,CNRM_CM5_RCP45
0.211727298,0.047828326,4.19E-06,CNRM_CM5_RCP45
3.622076124,0.006086041,5.46E-06,CNRM_CM5_RCP45
1.381819605,0.027002314,-9.50E-08,CNRM_CM5_RCP45
0.346499234,0.484222837,0.000146232,CNRM_CM5_RCP45
0.371604897,0.310012097,-2.38E-06,CNRM_CM5_RCP45
0.142462506,0.024826699,0.004693113,CNRM_CM5_RCP45
-0.601564652,0.079629131,0.000758693,CNRM_CM5_RCP45
-0.86762112,0.120194421,0.007322177,CNRM_CM5_RCP45
-0.650748356,0.034571299,0.001113898,CNRM_CM5_RCP45
-0.063717174,0.479512662,0.00635251,CNRM_CM5_RCP45
-0.266727672,0.10424943,0.006537243,CNRM_CM5_RCP45
0.257180428,0.307650129,0.003378723,CNRM_CM5_RCP45
-0.350989703,0.284758296,0.017854114,CNRM_CM5_RCP45
-1.267071176,0.145623888,0.010410946,CNRM_CM5_RCP45
0.063331887,0.112055138,0.004523323,CNRM_CM5_RCP45
-0.118493867,0.482542822,0.066150363,CNRM_CM5_RCP45
0.75552457,0.058382351,0.001201336,CNRM_CM5_RCP45
0.351236555,0.287837165,0,CNRM_CM5_RCP45
-0.006864675,0.405708889,0.156116827,CNRM_CM5_RCP45
0.348316095,0.593406876,0.015552538,CNRM_CM5_RCP45
2.481683637,1.12956463,-0.002982989,CNRM_CM5_RCP45
1.166038948,0.250196942,0.052655713,CNRM_CM5_RCP45
-0.152568638,0.794442643,-4.33E-05,CNRM_CM5_RCP45
-0.145736114,0.242795081,0.000587366,CNRM_CM5_RCP45
-0.040336824,0.455870595,0.006663691,CNRM_CM5_RCP45
