,RunID,interc_ET,slope_ET,interc_Q,slope_Q,interc_Sed,slope_Sed,model
16163,24910194,324.8688779,0.182511756,-350.3278775,0.188266805,-6.056359571,0.003128444,CNRM_CM5_RCP45
16164,24910195,759.6686533,-0.03919754,-539.0619651,0.349405685,-27.44766877,0.015074027,CNRM_CM5_RCP45
16165,24910196,0.19868846,0.365969907,-236.6487427,0.147326476,-122.8850851,0.063007497,CNRM_CM5_RCP45
16166,24910197,566.559872,0.038654864,-201.7161492,0.127409604,-18.55554476,0.0095214,CNRM_CM5_RCP45
16167,24910198,-348.1287372,0.512716866,-234.0377041,0.199271607,-601.9149242,0.30926861,CNRM_CM5_RCP45
16168,24910199,297.9801666,0.187144443,-268.6031533,0.157793923,-7.856727434,0.003956272,CNRM_CM5_RCP45
16169,24910200,190.9361286,0.238574693,-286.4405019,0.224552756,-537.0518574,0.276185253,CNRM_CM5_RCP45
16170,24910201,715.9163076,-0.005442777,-319.2508992,0.181554696,-3.801190761,0.001966648,CNRM_CM5_RCP45
16171,24910202,652.338801,0.016219091,-340.4452887,0.186666626,-11.6719413,0.006199754,CNRM_CM5_RCP45
16172,24910203,842.0926646,-0.064101079,-702.2494484,0.427354634,-235.8776707,0.122580015,CNRM_CM5_RCP45
16173,24910204,608.5641195,0.008722551,-328.6194373,0.181636879,-3.779900594,0.00199351,CNRM_CM5_RCP45
16174,24910205,-696.4118968,0.68079678,-186.8380623,0.108889054,-4.212357456,0.002142358,CNRM_CM5_RCP45
16175,24910206,-199.8642843,0.445974648,-257.7536725,0.144441128,-7.532692997,0.003946702,CNRM_CM5_RCP45
16176,24910207,738.1631268,-0.031455149,-363.2491816,0.19875109,-6.822441693,0.003564345,CNRM_CM5_RCP45
16177,24910208,-260.9311912,0.524012634,-432.7188506,0.253783855,-63.21651594,0.032827208,CNRM_CM5_RCP45
16178,24910209,-286.0119897,0.46438774,-237.9252033,0.138164216,-17.75620047,0.009010532,CNRM_CM5_RCP45
16179,24910210,324.9053718,0.176047624,-358.9255737,0.200892677,-4.916008665,0.002558464,CNRM_CM5_RCP45
16180,24910211,180.8808563,0.284199564,-331.3227816,0.184382804,-2.764708212,0.001472892,CNRM_CM5_RCP45
16181,24910212,218.5866345,0.224997993,-197.0886432,0.112921193,-3.822517815,0.002006753,CNRM_CM5_RCP45
16182,24910213,52.620206,0.234561684,-262.0861205,0.170941335,-11.79805979,0.007162237,CNRM_CM5_RCP45
16183,24910214,4.544343703,0.325418577,-235.2769272,0.134000928,-5.964775883,0.003022551,CNRM_CM5_RCP45
16184,24910215,108.1294433,0.233836035,-217.4312495,0.125241743,-3.404822851,0.001759923,CNRM_CM5_RCP45
16185,24910216,296.5225849,0.142251241,-245.6698191,0.137978438,-2.567875913,0.001350906,CNRM_CM5_RCP45
16186,24910217,733.1097851,-0.054999609,-311.2676377,0.170792805,-3.737355397,0.001954204,CNRM_CM5_RCP45
16187,24910218,580.1904282,0.013533374,-443.8461857,0.247152806,-30.89763774,0.016258782,CNRM_CM5_RCP45
16188,24910219,310.3130602,0.150183766,-304.9860213,0.16940857,-1.316579271,0.000673949,CNRM_CM5_RCP45
16189,24910220,-599.5848767,0.620641156,-107.0124999,0.061300777,-11.87939328,0.006011415,CNRM_CM5_RCP45
16190,24910221,410.2219578,0.100779165,-389.7302424,0.209992805,-3.361101949,0.001700749,CNRM_CM5_RCP45
16191,24910222,498.5332373,0.046530165,-355.1049684,0.189099754,-9.445313721,0.004903192,CNRM_CM5_RCP45
16192,24910223,363.4794784,0.128010717,-474.3409017,0.255970315,-7.949504314,0.004122557,CNRM_CM5_RCP45
16193,24910224,636.4703984,-0.025309923,-440.5344333,0.232874178,-10.61410855,0.005568303,CNRM_CM5_RCP45
16194,24910225,679.2780918,-0.025447227,-357.1337859,0.189377454,-1.407895917,0.000772769,CNRM_CM5_RCP45
16195,24910226,515.6491152,0.044283352,-331.6229416,0.178259179,-12.75233062,0.006823574,CNRM_CM5_RCP45
16196,24910227,643.4839199,-0.020874821,-312.1473456,0.165650201,-3.539192503,0.001851794,CNRM_CM5_RCP45
16197,24910228,345.8662826,0.126109554,-388.3777974,0.210064278,-8.982136544,0.004871126,CNRM_CM5_RCP45
16198,24910229,885.8487719,-0.123489909,-417.9102906,0.22243816,-14.29639234,0.007484218,CNRM_CM5_RCP45
16199,24910230,812.8770921,-0.065495628,-335.3628911,0.179035236,-3.031439168,0.001647691,CNRM_CM5_RCP45
16200,24910231,-592.5847201,0.62300019,-243.8371311,0.133421461,-7.023991456,0.003563411,CNRM_CM5_RCP45
16201,24910232,570.138567,0.044177544,-383.8294617,0.203644952,-1.003088542,0.000518532,CNRM_CM5_RCP45
16202,24910233,304.0403523,0.137537114,-373.2033236,0.199399614,-3.07037568,0.001579679,CNRM_CM5_RCP45
16203,24910234,888.2326929,-0.100592269,-231.5198016,0.154240239,-218.9945108,0.117898295,CNRM_CM5_RCP45
16204,24910235,433.375304,0.139821484,-174.7459032,0.112058654,-3.132094551,0.001833386,CNRM_CM5_RCP45
16205,24910236,550.3566915,0.066401672,-119.2319183,0.143330154,-311.3396634,0.164291201,CNRM_CM5_RCP45
16206,24910237,94.15506547,0.280417045,-228.0736547,0.186644795,-112.8742387,0.057225704,CNRM_CM5_RCP45
16207,24910238,365.6865251,0.184412271,-144.2655038,0.097919639,-1.754281865,0.001975648,CNRM_CM5_RCP45
16208,24910239,951.0179789,-0.169540004,-1245.636171,0.677832284,-49.91558481,0.025455652,CNRM_CM5_RCP45
16209,24910240,663.7017043,-0.028978751,-658.730484,0.35301965,-34.85957909,0.017972747,CNRM_CM5_RCP45
16210,24910241,255.960911,0.149337903,-1275.518754,0.719759996,-47.67350791,0.02479569,CNRM_CM5_RCP45
16211,24910242,410.1405692,0.081277247,-433.1383607,0.229644354,-0.922707225,0.000473776,CNRM_CM5_RCP45
16212,24910243,-639.716814,0.639071489,-462.1730425,0.251018694,-12.46741424,0.006389244,CNRM_CM5_RCP45
16213,24910244,686.1825442,-0.045375934,-460.0059738,0.245347697,-0.877031949,0.000452778,CNRM_CM5_RCP45
16214,24910245,-2284.185509,1.460206787,-123.0263857,0.074718129,-26.50222168,0.013460018,CNRM_CM5_RCP45
16215,24910246,479.6147414,0.084222591,-518.7575311,0.273340653,-12.94271224,0.006668152,CNRM_CM5_RCP45
16216,24910247,385.8873903,0.174991877,24.88004798,0.007904081,-2.284729176,0.001297233,CNRM_CM5_RCP45
16217,24910248,234.7195775,0.238464082,-15.06033659,0.026131625,-1.026645582,0.000532854,CNRM_CM5_RCP45
16218,24910249,65.64615504,0.300023256,-106.2738121,0.080374374,-5.999339576,0.003279103,CNRM_CM5_RCP45
16219,24910250,606.6517527,0.090456434,-178.5299666,0.111981966,-6.457423925,0.00360393,CNRM_CM5_RCP45
16220,24910251,534.4873018,0.089198351,-486.8229289,0.265896154,-62.04457851,0.03211307,CNRM_CM5_RCP45
16221,24910252,770.1475468,-0.022270192,-349.2899619,0.188551923,-49.50477822,0.025688735,CNRM_CM5_RCP45
16222,24910253,821.3794974,-0.066830635,-964.3549131,0.592636729,-530.8815638,0.280683251,CNRM_CM5_RCP45
16223,24910254,2946.472975,-1.113008486,-1470.384567,0.797490418,-352.5702682,0.179157692,CNRM_CM5_RCP45
16224,24910255,403.4344948,0.116916939,-331.4636325,0.181290424,-7.277131783,0.003753488,CNRM_CM5_RCP45
16225,24910256,1026.785678,-0.169280272,-435.9335591,0.238082838,-45.69740389,0.023915659,CNRM_CM5_RCP45
16226,24910257,52.70578211,0.284220136,-279.7910128,0.15652254,-16.93138404,0.008747194,CNRM_CM5_RCP45
16227,24910258,601.6261751,0.033463495,-449.6735278,0.250366307,-34.21907467,0.018217118,CNRM_CM5_RCP45
16228,24910259,77.15544291,0.267314149,-307.5370651,0.172276934,-25.69570965,0.013111276,CNRM_CM5_RCP45
16229,24910260,965.5561532,-0.134047155,-271.6116971,0.149705266,-1.210703125,0.000642515,CNRM_CM5_RCP45
16230,24910261,277.0679552,0.162667911,-294.6523861,0.159791592,-2.088010333,0.001082027,CNRM_CM5_RCP45
16231,24910262,1044.717431,-0.194855965,-416.6809381,0.223890178,-17.48692834,0.009107966,CNRM_CM5_RCP45
16232,24910263,248.7389194,0.182553936,-299.9928419,0.165719706,-2.028277262,0.00106998,CNRM_CM5_RCP45
16233,24910264,999.4702627,-0.128305445,-358.7695738,0.194439876,-4.92387281,0.002616866,CNRM_CM5_RCP45
16234,24910265,521.8203097,0.053279405,-386.3690966,0.209017749,-18.19370553,0.009600084,CNRM_CM5_RCP45
16235,24910266,532.8245064,0.065866033,-394.5966564,0.212856731,-17.28209475,0.008972658,CNRM_CM5_RCP45
16236,24910267,654.7000133,-0.009007888,-386.7624892,0.205730042,-20.9151951,0.010813752,CNRM_CM5_RCP45
16237,24910268,681.2897672,-0.036330495,-306.1352603,0.163712735,-4.335601316,0.002231943,CNRM_CM5_RCP45
16238,24910269,467.7473461,0.017571774,-311.2122457,0.164913059,-0.291629221,0.000149066,CNRM_CM5_RCP45
16239,24910270,608.4941254,-0.003885672,-376.1230052,0.200367067,-3.066940044,0.001592805,CNRM_CM5_RCP45
16240,24910271,519.1382668,0.115703947,-177.1927882,0.109550615,-10.41483629,0.005729478,CNRM_CM5_RCP45
16241,24910272,-177.7966788,0.371937198,-1317.017422,0.729931625,-439.758724,0.233647736,CNRM_CM5_RCP45
16242,24910273,439.6587258,0.081273407,-550.4337061,0.289684308,-0.837287083,0.000435309,CNRM_CM5_RCP45
16243,24910274,651.1136329,-0.024134772,-718.808137,0.378747171,-8.319763016,0.004214138,CNRM_CM5_RCP45
16244,24910275,1178.13585,-0.250881373,-1377.167429,0.761779355,-152.0609307,0.082288791,CNRM_CM5_RCP45
16245,24910276,386.3838229,0.081071344,-1675.957844,0.954143873,-431.4547793,0.219297669,CNRM_CM5_RCP45
16246,24910277,909.9425931,-0.083724201,-628.8134847,0.333413948,-98.63213331,0.050847339,CNRM_CM5_RCP45
16247,24910278,144.1634608,0.239975184,-671.4334451,0.35815781,-26.39595055,0.013310918,CNRM_CM5_RCP45
16248,24910279,606.356974,0.04834645,-287.3023626,0.150679366,-12.39422188,0.006376465,CNRM_CM5_RCP45
16249,24910280,216.5066331,0.217096841,-534.9081579,0.283259023,-42.86150752,0.021852029,CNRM_CM5_RCP45
16250,24910281,714.4164832,-0.005942062,-252.3784888,0.13469465,-1.522618459,0.000777471,CNRM_CM5_RCP45
16251,24910282,626.6010318,0.00631733,-1643.88634,0.903284604,-124.4785629,0.06357595,CNRM_CM5_RCP45
16252,24910283,643.5516851,-0.02344257,-544.9871914,0.284848373,-1.557659297,0.000803695,CNRM_CM5_RCP45
16253,24910284,442.0283624,0.092736047,-537.2444015,0.28271373,-2.466044657,0.001272479,CNRM_CM5_RCP45
16254,24910285,652.803146,-0.00991648,-699.1814346,0.370134442,-11.28836555,0.00593968,CNRM_CM5_RCP45
16255,24910286,591.4888233,-0.000373781,-590.9761298,0.312679975,-3.438826131,0.001771909,CNRM_CM5_RCP45
16256,24910287,651.003943,-0.029398597,-585.7868777,0.307099961,-1.341392302,0.000682497,CNRM_CM5_RCP45
16257,24910288,687.4948036,-0.02946638,-632.8201555,0.331818163,-2.570230452,0.00131667,CNRM_CM5_RCP45
16258,24910289,1749.287207,-0.530013053,-750.9190365,0.395504701,-92.480091,0.050213568,CNRM_CM5_RCP45
16259,24910290,1736.690577,-0.498803628,-330.9612507,0.173233877,-2.848030598,0.001450827,CNRM_CM5_RCP45
16260,24910291,589.3217143,0.079993996,-440.0921385,0.326871858,-3.452690882,0.026397825,CNRM_CM5_RCP45
16261,24910292,675.8922084,-0.014096489,-536.4346873,0.283520902,-13.86984009,0.007123709,CNRM_CM5_RCP45
16262,24910293,600.5724099,0.033446836,-481.0389411,0.257855831,-7.018162912,0.003647456,CNRM_CM5_RCP45
16263,24910294,491.8716585,0.027402057,-868.5361589,0.466313953,-77.39256347,0.039455523,CNRM_CM5_RCP45
